"css-146c3p1","css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1 2","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-9pa8cd src 2","css-175oi2r href 5","css-9pa8cd src 3","css-146c3p1 href 2","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-1jxf684 11","css-1jxf684 12","css-175oi2r href 6","css-1jxf684 13","css-1jxf684 14","css-1jxf684 href","css-1jxf684 15","css-1jxf684 16","css-1jxf684 17","css-1jxf684 href 2","css-1jxf684 18","css-1jxf684 19","css-9pa8cd src 4","css-175oi2r href 7","css-9pa8cd src 5","css-175oi2r href 8","css-9pa8cd src 6","r-1p0dtai src","css-1jxf684 20","css-1jxf684 href 3"
"","https://x.com/Regvcofficial","https://pbs.twimg.com/profile_images/1594645991986286592/PRD_6RlV_bigger.jpg","https://x.com/Regvcofficial","REG VOLLEYBALL CLUB","@Regvcofficial","·","https://x.com/Regvcofficial/status/1928478795020792067","May 30","Mugisha Bavuga Benon is our New Head Coach for the next two years!
He arrived and officially signed this morning.
Mugisha was part of our historic 2019–2020 season when we won our first-ever title.

Let’s wish him the best of luck","","","https://x.com/Regvcofficial/status/1928478795020792067/photo/1","https://pbs.twimg.com/media/GsNVOvaWwAAUHHT?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928478795020792067/photo/2","","https://x.com/Regvcofficial/status/1928478795020792067/media_tags","and 2 others","Rwanda Energy Group","","5","7","30","https://x.com/Regvcofficial/status/1928478795020792067/analytics","2K","","","","reposted","Rwanda Energy Group","","","","https://pbs.twimg.com/media/GsNVOvcW0AAETek?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928478795020792067/photo/3","https://pbs.twimg.com/media/GsNVOvaXMAEFBVq?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928478795020792067/photo/4","https://pbs.twimg.com/media/GsNVOvfW8AAz5m0?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1929510224177549571","Jun 2","Twasuye sub-station (ihuriro ry'amashanyarazi) rya Bwishyura, ririmo kubakwa mu Karere ka","rikazafasha mu kugeza amashanyarazi hirya no hino mu gihugu ku kigero cyo hejuru hatabayeho kuyatakaza mu nzira. 

Byitezwe ko imirimo yo kubaka iri huriro ry'amashanyarazi rya","Show more","https://x.com/reg_rwanda/status/1929510224177549571/photo/1","https://pbs.twimg.com/media/Gsb2DQfWMAA9-WH?format=jpg&name=small","https://x.com/reg_rwanda/status/1929510224177549571/photo/2","","https://x.com/reg_rwanda/status/1929510224177549571/media_tags","and","Ministry of Infrastructure | Rwanda","Rwanda Utilities Regulatory Authority - RURA","1","8","21","https://x.com/reg_rwanda/status/1929510224177549571/analytics","3.2K","2:51","","","","","https://x.com/KarongiDistr","","@KarongiDistr","https://pbs.twimg.com/media/Gsb2EqbW4AA-R4m?format=jpg&name=360x360","","","","","blob:https://x.com/3afb43b5-80dc-43e7-9bd2-70b3c2c7bef8","",""
"","https://x.com/Regvcofficial","https://pbs.twimg.com/profile_images/1594645991986286592/PRD_6RlV_bigger.jpg","https://x.com/Regvcofficial","REG VOLLEYBALL CLUB","@Regvcofficial","·","https://x.com/Regvcofficial/status/1928481892422111278","May 30","Our assistant coach, Evode Munyandinda, is going nowhere — he’s staying with us..","","","https://x.com/Regvcofficial/status/1928481892422111278/photo/1","https://pbs.twimg.com/media/GsNYC-sXsAAs5xD?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928481892422111278/photo/2","","https://x.com/Regvcofficial/status/1928481892422111278/media_tags","and","Rwanda Energy Group","FRVB | RWANDA VOLLEYBALL","2","10","","https://x.com/Regvcofficial/status/1928481892422111278/analytics","1.7K","","","","reposted","Rwanda Energy Group","","","","https://pbs.twimg.com/media/GsNYC-mXsAAza9O?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928481892422111278/photo/3","https://pbs.twimg.com/media/GsNYDGBWcAAWEzh?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928481892422111278/photo/4","https://pbs.twimg.com/media/GsNYC-2WcAACNWk?format=jpg&name=360x360","","",""
"","https://x.com/Regvcofficial","https://pbs.twimg.com/profile_images/1594645991986286592/PRD_6RlV_bigger.jpg","https://x.com/Regvcofficial","REG VOLLEYBALL CLUB","@Regvcofficial","·","https://x.com/Regvcofficial/status/1928483522907418770","May 30","We’re thrilled to announce the signing of Ntanteteri Crispin, who has penned a two-year deal in our jersey.

Welcome, Crispin","","","https://x.com/Regvcofficial/status/1928483522907418770/photo/1","https://pbs.twimg.com/media/GsNZiPuWsAEfWI_?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928483522907418770/photo/2","","https://x.com/Regvcofficial/status/1928483522907418770/media_tags","and","Rwanda Energy Group","FRVB | RWANDA VOLLEYBALL","2","14","","https://x.com/Regvcofficial/status/1928483522907418770/analytics","1.8K","","","","reposted","Rwanda Energy Group","","","","https://pbs.twimg.com/media/GsNZiP8WgAADoWK?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928483522907418770/photo/3","https://pbs.twimg.com/media/GsNZiQGWQAAPeao?format=jpg&name=360x360","https://x.com/Regvcofficial/status/1928483522907418770/photo/4","https://pbs.twimg.com/media/GsNZiIuWgAAQp6i?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928493873937961393","May 30",",

Mu bice bya Ruhango muri Gisozi na Kibaza muri Kacyiru. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","5","1","4","https://x.com/reg_rwanda/status/1928493873937961393/analytics","2.4K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928493383057575974","May 30","!

Some Customers in Ruhango cell in Gisozi Sector and  Kibaza cell in kacyiru sector are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","2","","","https://x.com/reg_rwanda/status/1928493383057575974/analytics","1.4K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928442706528985267","May 30","Mu imurikabikorwa ry'Akarere ka",", Ubuyobozi bw'Akarere bwasuye aho","Show more","","https://pbs.twimg.com/amplify_video_thumb/1928438771466330112/img/kVSicr1I27gsjHzk.jpg","","https://pbs.twimg.com/amplify_video_thumb/1928438828760440832/img/MWlSjXajZxy-SkBC.jpg","https://x.com/reg_rwanda/status/1928442706528985267/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","","3","7","14","https://x.com/reg_rwanda/status/1928442706528985267/analytics","3K","","","","","","https://x.com/BureraDistrict","irimo kumurika ibikorwa byayo ndetse n'ibyo irimo gufashamo abaturage.

Abahagarariye REG  bagaragaje ko irimo gukemura ibibazo by'abaturage bijyanye n'amashanyarazi, aho umuturage ufite","@BureraDistrict","https://pbs.twimg.com/amplify_video_thumb/1928438861274726400/img/rVgrj1EODndDP5Dn.jpg","","","https://x.com/reg_rwanda/status/1928442706528985267/photo/4","https://pbs.twimg.com/media/GsMw8bJXkAAHxNF?format=jpg&name=360x360","blob:https://x.com/34d15b77-0547-4a05-880f-cc79756c2570","@reg_rwanda","https://x.com/reg_rwanda"
"May 30","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928398297720381702","May 30","Kagarama, Gatenga na Gikondo kubera ikibazo tekinike. Turimo gukora ibishoboka byose ngo ugaruke vuba. Mutwihanganire. Murakoze.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","1","5","","https://x.com/reg_rwanda/status/1928398297720381702/analytics","2K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","·","#OutageAlert","We are currently experiencing a power outage in parts of Kagarama, Gatenga, and Gikondo due to technical issues. Our teams are working diligently to restore power as soon as possible. Please bear with us. Thank you.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928397823734677711","May 30","Muri gahunda yo kwegereza abaturage serivise nziza, Sosiyete y'u Rwanda ishinzwe ingufu REG, yitabiriye imurikabikorwa ry'abafatanyabikorwa b'akarere ka Burera",". 

Muri iki gikorwa, REG irimo gukemura ibibazo by'abaturage bijyanye n'amashanyarazi, aho umuturage","Show more","","https://pbs.twimg.com/amplify_video_thumb/1928397316160987136/img/74m8HD0ApDuT-oH-.jpg","https://x.com/reg_rwanda/status/1928397823734677711/photo/2","https://pbs.twimg.com/media/GsMLL-vWYAEuSeo?format=jpg&name=small","https://x.com/reg_rwanda/status/1928397823734677711/media_tags","and 2 others","Burera District","","1","4","10","https://x.com/reg_rwanda/status/1928397823734677711/analytics","1.9K","#JADFBureraOpenDay","https://x.com/hashtag/JADFBureraOpenDay?src=hashtag_click","","","","","","","","","","","","blob:https://x.com/a8239edb-8a85-4991-8938-25387b77ba0d","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928397800066142517","May 30","We are currently experiencing a power outage in parts of Kagarama, Gatenga, and Gikondo due to technical issues. Our teams are working diligently to restore power as soon as possible. Please bear with us. Thank you.","","","","","","","","","","","1","1","2","https://x.com/reg_rwanda/status/1928397800066142517/analytics","2.8K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928442706528985267","May 30","Mu imurikabikorwa ry'Akarere ka",", Ubuyobozi bw'Akarere bwasuye aho","Show more","","","","https://pbs.twimg.com/amplify_video_thumb/1928438828760440832/img/MWlSjXajZxy-SkBC.jpg","https://x.com/reg_rwanda/status/1928442706528985267/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","","3","7","14","https://x.com/reg_rwanda/status/1928442706528985267/analytics","3K","0:47","","","","","https://x.com/BureraDistrict","irimo kumurika ibikorwa byayo ndetse n'ibyo irimo gufashamo abaturage.

Abahagarariye REG  bagaragaje ko irimo gukemura ibibazo by'abaturage bijyanye n'amashanyarazi, aho umuturage ufite","@BureraDistrict","https://pbs.twimg.com/amplify_video_thumb/1928438861274726400/img/rVgrj1EODndDP5Dn.jpg","","","https://x.com/reg_rwanda/status/1928442706528985267/photo/4","https://pbs.twimg.com/media/GsMw8bJXkAAHxNF?format=jpg&name=360x360","blob:https://x.com/34d15b77-0547-4a05-880f-cc79756c2570","@reg_rwanda","https://x.com/reg_rwanda"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928364041216594410","May 30","Guhera muri Mutarama kugeza tariki ya 26/05/2025, mu gihugu hose","imaze gufata insinga z'amashanyarazi zireshya na metero 4230, cashpower zirenga 78 n'ibindi bikoresho binyuranye byibwe.  

Wakongera gukurikira ikiganiro cyatambutse kuri","Show more","https://x.com/reg_rwanda/status/1928364041216594410/photo/1","https://pbs.twimg.com/media/GsLsi1gWIAAvcCL?format=jpg&name=small","https://x.com/reg_rwanda/status/1928364041216594410/photo/2","","https://x.com/reg_rwanda/status/1928364041216594410/media_tags","and 4 others","Ministry of Infrastructure | Rwanda","","5","9","48","https://x.com/reg_rwanda/status/1928364041216594410/analytics","7.8K","","","","","","https://x.com/Rwandapolice","aho","@Rwandapolice","https://pbs.twimg.com/media/GsLskjxWwAA5pA9?format=jpg&name=small","https://x.com/reg_rwanda/status/1928364041216594410/photo/3","https://pbs.twimg.com/media/GsLsl_JWYAAKVTP?format=jpg&name=small","https://x.com/reg_rwanda/status/1928364041216594410/photo/4","https://pbs.twimg.com/media/GsLsl_IWsAAJtDi?format=jpg&name=360x360","","@Radiotv10rwanda","https://x.com/Radiotv10rwanda"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928148331424870759","May 29",",

Mu bice bya Gatenga akagali ka Nyanza. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","2","5","","https://x.com/reg_rwanda/status/1928148331424870759/analytics","1.7K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928146142140752011","May 29","!

Some customers in Gatenga, Nyanza village are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","3","","","https://x.com/reg_rwanda/status/1928146142140752011/analytics","1.4K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928442706528985267","May 30","Mu imurikabikorwa ry'Akarere ka",", Ubuyobozi bw'Akarere bwasuye aho","Show more","","","","https://pbs.twimg.com/amplify_video_thumb/1928438828760440832/img/MWlSjXajZxy-SkBC.jpg","https://x.com/reg_rwanda/status/1928442706528985267/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","","3","7","14","https://x.com/reg_rwanda/status/1928442706528985267/analytics","3K","0:46","","","","","https://x.com/BureraDistrict","irimo kumurika ibikorwa byayo ndetse n'ibyo irimo gufashamo abaturage.

Abahagarariye REG  bagaragaje ko irimo gukemura ibibazo by'abaturage bijyanye n'amashanyarazi, aho umuturage ufite","@BureraDistrict","https://pbs.twimg.com/amplify_video_thumb/1928438861274726400/img/rVgrj1EODndDP5Dn.jpg","","","https://x.com/reg_rwanda/status/1928442706528985267/photo/4","https://pbs.twimg.com/media/GsMw8bJXkAAHxNF?format=jpg&name=360x360","blob:https://x.com/34d15b77-0547-4a05-880f-cc79756c2570","@reg_rwanda","https://x.com/reg_rwanda"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928397823734677711","May 30","Muri gahunda yo kwegereza abaturage serivise nziza, Sosiyete y'u Rwanda ishinzwe ingufu REG, yitabiriye imurikabikorwa ry'abafatanyabikorwa b'akarere ka Burera",". 

Muri iki gikorwa, REG irimo gukemura ibibazo by'abaturage bijyanye n'amashanyarazi, aho umuturage","Show more","","","https://x.com/reg_rwanda/status/1928397823734677711/photo/2","https://pbs.twimg.com/media/GsMLL-vWYAEuSeo?format=jpg&name=small","https://x.com/reg_rwanda/status/1928397823734677711/media_tags","and 2 others","Burera District","0:28","1","4","10","https://x.com/reg_rwanda/status/1928397823734677711/analytics","1.9K","#JADFBureraOpenDay","https://x.com/hashtag/JADFBureraOpenDay?src=hashtag_click","","","","","","","","","","","","blob:https://x.com/a8239edb-8a85-4991-8938-25387b77ba0d","",""
"May 29","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928066274774397342","May 29","Inspiring future engineers, scientists, and innovators starts here!","is proud to open its doors to young learners and turning energy sites like Ntaruka Hydropower Plant into classrooms of inspiration.

Thanks to Chez Les Bien-Aimés | Ecole Internationale for leading","Show more","https://x.com/clba_org/status/1928044818032173232/photo/1","https://pbs.twimg.com/media/GsHKdIQWsAAX2Ze?format=jpg&name=360x360","https://x.com/clba_org/status/1928044818032173232/photo/2","https://pbs.twimg.com/profile_images/1621258946542452736/6iNQpjHX_normal.jpg","","Quote","Chez Les Bien-Aimés | Ecole Internationale","@clba_org","2","8","","https://x.com/reg_rwanda/status/1928066274774397342/analytics","1.7K","","","·","@RwandaNorth","Our students began a 2-day study tour in the","https://x.com/reg_rwanda","","@reg_rwanda","https://pbs.twimg.com/media/GsHKdJVXMAACEnY?format=jpg&name=small","https://x.com/clba_org/status/1928044818032173232/photo/3","https://pbs.twimg.com/media/GsHKdI5WUAABOm6?format=jpg&name=small","https://x.com/clba_org/status/1928044818032173232/photo/4","https://pbs.twimg.com/media/GsHKdJIWUAA5z_O?format=jpg&name=small","","",""
"May 29","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928034613680541707","May 29","Hari ibintu bigomba gucika, twese tugatanga amakuru kuko bitugiraho ingaruka. 

Niba ubonye abangiza ibikorwaremezo by'amashanyarazi, ababigura bakongera kubicuruza wibiceceka

Tanga amakuru ku nzego z'ibanze zikwegereye, bimenyeshe","cyangwa uhamagare kuri 2727.","Kuki abantu bangiza insinga z’amashanyarazi na za transfo?Ni inde ubihomberamo?

Kuri uyu wa Kane mu kiganiro","https://x.com/reg_rwanda/status/1928034613680541707/photo/1","https://pbs.twimg.com/media/GsHAjTiWkAEs2k8?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1928034613680541707/photo/2","https://pbs.twimg.com/profile_images/1912423582887460864/2EMdAzkW_normal.jpg","","Quote","RadioTv10 Rwanda","@Radiotv10rwanda","16","8","46","https://x.com/reg_rwanda/status/1928034613680541707/analytics","9.6K","@reg_rwanda","","·",") na Polisi y’u Rwanda (","@Rwandapolice","https://x.com/Rwandapolice","#Impamo","@Rwandapolice","https://pbs.twimg.com/media/GsHAjPJWcAA0ofA?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1928034613680541707/photo/3","https://pbs.twimg.com/media/GsHAjPEWsAACG6L?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1928034613680541707/photo/4","https://pbs.twimg.com/media/GsHAjPHW4AA8gC-?format=jpg&name=360x360","",", REG (",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1928397823734677711","May 30","Muri gahunda yo kwegereza abaturage serivise nziza, Sosiyete y'u Rwanda ishinzwe ingufu REG, yitabiriye imurikabikorwa ry'abafatanyabikorwa b'akarere ka Burera",". 

Muri iki gikorwa, REG irimo gukemura ibibazo by'abaturage bijyanye n'amashanyarazi, aho umuturage","Show more","","","https://x.com/reg_rwanda/status/1928397823734677711/photo/2","https://pbs.twimg.com/media/GsMLL-vWYAEuSeo?format=jpg&name=small","https://x.com/reg_rwanda/status/1928397823734677711/media_tags","and 2 others","Burera District","0:27","1","4","10","https://x.com/reg_rwanda/status/1928397823734677711/analytics","1.9K","#JADFBureraOpenDay","https://x.com/hashtag/JADFBureraOpenDay?src=hashtag_click","","","","","","","","","","","","blob:https://x.com/a8239edb-8a85-4991-8938-25387b77ba0d","",""
"","https://x.com/Radiotv10rwanda","https://pbs.twimg.com/profile_images/1912423582887460864/2EMdAzkW_bigger.jpg","https://x.com/Radiotv10rwanda","RadioTv10 Rwanda","@Radiotv10rwanda","·","https://x.com/Radiotv10rwanda/status/1928031595228746139","May 29","Kuki abantu bangiza insinga z’amashanyarazi na za transfo?Ni inde ubihomberamo?

Kuri uyu wa Kane mu kiganiro",", REG (","","https://x.com/Radiotv10rwanda/status/1928031595228746139/photo/1","https://pbs.twimg.com/media/GsG-fsrXYAAX0qY?format=jpg&name=small","","","","","",") bari kumwe natwe.
Tuganire ku mashanyarazi, uburinzi, n’ibihano.","3","4","13","https://x.com/Radiotv10rwanda/status/1928031595228746139/analytics","17K","#Impamo","https://x.com/hashtag/Impamo?src=hashtag_click","","reposted","Rwanda Energy Group","https://x.com/reg_rwanda",") na Polisi y’u Rwanda (","@reg_rwanda","","","","","","","@Rwandapolice","https://x.com/Rwandapolice"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927998309328900102","May 29","""Nk'uko mubizi guverinoma y'u Rwanda ntawe iheza ntawe isigaza inyuma, niyo mpamvu n'abo bacye batuye ku kirwa bagomba kugezwaho umuriro w'amashanyarazi"".

Mudasingwa Alex ukuriye REG mu Burengerazuba, ubwo yasobanuraga impamvu yo kugeza amashanyarazi ku miryango 148 ituye ku","","Show more","","https://pbs.twimg.com/amplify_video_thumb/1927995907359842304/img/l1GG0w-dQbZ4GEHl.jpg","https://x.com/reg_rwanda/status/1927998309328900102/photo/2","","https://x.com/reg_rwanda/status/1927998309328900102/media_tags","and 4 others","Ministry of Infrastructure | Rwanda","","7","11","29","https://x.com/reg_rwanda/status/1927998309328900102/analytics","3.7K","","","","","","","","","https://pbs.twimg.com/media/GsGfsJFXIAATrfc?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1927998309328900102/photo/3","https://pbs.twimg.com/media/GsGf0W2XEAAE9Cf?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1927998309328900102/photo/4","https://pbs.twimg.com/media/GsGf3ylXwAAcTlq?format=jpg&name=360x360","blob:https://x.com/24de00a2-9e9a-4bf6-8351-6f279a1dcba5","",""
"May 28","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927696915124121612","May 28","We are currently experiencing a technical issue affecting Kimihurura, Kacyiru, and Muhima due to a fault. Our team is working diligently to restore power as soon as possible. We appreciate your patience. Thank you.","","","","","","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_normal.jpg","","Quote","Rwanda Energy Group","@reg_rwanda","4","3","","https://x.com/reg_rwanda/status/1927696915124121612/analytics","2K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","·","#Umurirowabuze","Muri Kimihurura, Kacyiru na Muhima kubera ikibazo tekinike. Turimo gukora ibishoboka byose ngo umuriro ugaruke. Murakoze.","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927695835271254228","May 28","Muri Kimihurura, Kacyiru na Muhima kubera ikibazo tekinike. Turimo gukora ibishoboka byose ngo umuriro ugaruke. Murakoze.","","","","","","","","","","","4","1","5","https://x.com/reg_rwanda/status/1927695835271254228/analytics","3.4K","#Umurirowabuze","https://x.com/hashtag/Umurirowabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927647274328347092","May 28","Ikipe ya","ibararikiye kwitabira umukino ihuramo na Kepler BBC, wo ku munsi wa 14 wa shampiyona y'icyiciro cya mbere mu bagabo.","Show more","https://x.com/reg_rwanda/status/1927647274328347092/photo/1","https://pbs.twimg.com/media/GsBb2_aXAAAkBHM?format=jpg&name=small","","","https://x.com/reg_rwanda/status/1927647274328347092/media_tags","and 2 others","FERWABA","Ryari:  Tariki ya 28/05/2025, guhera 20h30","2","23","","https://x.com/reg_rwanda/status/1927647274328347092/analytics","1.9K","ticket.rw","https://t.co/3i7YVd8Juk","Gura itike yawe kuri:","http://","","https://x.com/regbbcofficial","Hehe: Kuri Petit Stade","@regbbcofficial","","","","","","","",""
"May 26","https://x.com/ferwabaRW","https://pbs.twimg.com/profile_images/1522282878834511873/fTQ_G9y8_bigger.jpg","https://x.com/ferwabaRW","FERWABA","@ferwabaRW","·","https://x.com/ferwabaRW/status/1927476952090235050","May 27","REG W did it again","","This Tuesday,","https://x.com/ferwabaRW/status/1927476952090235050/photo/1","https://pbs.twimg.com/media/Gr_GEDbWEAAS9rk?format=jpg&name=small","https://x.com/ferwabaRW/status/1927476952090235050/photo/2","https://pbs.twimg.com/profile_images/1522282878834511873/fTQ_G9y8_normal.jpg","","Quote","FERWABA","@ferwabaRW","1","16","","https://x.com/ferwabaRW/status/1927476952090235050/analytics","2.7K","#RwandaCup25","https://x.com/hashtag/RwandaCup25?src=hashtag_click","·","reposted","Rwanda Energy Group","","#RwandaCup25","","https://pbs.twimg.com/media/Gr_GELaXoAEKUct?format=jpg&name=small","https://x.com/ferwabaRW/status/1927476952090235050/photo/3","https://pbs.twimg.com/media/Gr_GEDkWcAEHPWe?format=jpg&name=small","","","","is bringing the heat in the Women’s Category!

Don’t miss the action — see you at PETIT STADE! It is Free entry",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927388792970760488","May 27",",

Mu bice bya Kimihurura. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","6","1","5","https://x.com/reg_rwanda/status/1927388792970760488/analytics","3K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1927388214433620289","May 27","!

Customers in Kimihurura are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","2","1","","https://x.com/reg_rwanda/status/1927388214433620289/analytics","7.9K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
